model,dimension,stratum,n,mapper,conditional_mean_composite,conditional_mean_ig,ig_positive_rate,discriminating_q_rate,mean_composite,mean_dcs,redundancy_rate,early_ig_mean,active_turn_count
gemini-3.1-flash-lite,question,correct,149,cosine,0.34963,-0.54596,0.240194,0.494549,0.353859,0.335407,0.023117,-0.571125,2.154362
gemini-3.1-flash-lite,question,incorrect,81,cosine,0.230582,-0.379323,0.320719,0.305933,0.197277,0.201801,0.012052,-0.386314,4.54321
gemini-3.1-flash-lite,question,all,230,cosine,0.302247,-0.479637,0.272244,0.419478,0.298715,0.287733,0.01922,-0.497568,2.995652
gemini-3.5-flash,question,correct,141,cosine,0.420264,-0.20939,0.386048,0.541158,0.407202,0.431788,0.027147,-0.203822,2.659574
gemini-3.5-flash,question,incorrect,89,cosine,0.431703,-0.274058,0.337261,0.542994,0.313606,0.326669,0.035893,-0.283135,4.404494
gemini-3.5-flash,question,all,230,cosine,0.425215,-0.23738,0.364931,0.541953,0.370984,0.391112,0.030531,-0.238152,3.334783
gpt-5.4,question,correct,112,cosine,0.342312,-0.205115,0.269949,0.449856,0.308107,0.388267,0.045801,-0.16968,3.517857
gpt-5.4,question,incorrect,109,cosine,0.285182,-0.287358,0.317742,0.378482,0.234096,0.271063,0.038976,-0.315287,5.486239
gpt-5.4,question,all,221,cosine,0.310964,-0.250243,0.296174,0.410692,0.271604,0.328289,0.042435,-0.249577,4.488688
gpt-5.4-mini-2026-03-17,question,correct,177,cosine,0.288017,-0.286967,0.339498,0.381403,0.252654,0.29618,0.032254,-0.25206,2.354286
gpt-5.4-mini-2026-03-17,question,incorrect,53,cosine,0.215864,-0.275158,0.352905,0.257778,0.185489,0.257426,0.038365,-0.166982,4.924528
gpt-5.4-mini-2026-03-17,question,all,230,cosine,0.269796,-0.283985,0.342883,0.350184,0.237041,0.286953,0.033674,-0.230576,2.951754
llama-3.3-70b-instruct,question,correct,169,cosine,0.262194,-0.308187,0.357942,0.337288,0.215043,0.29437,0.033072,-0.345861,5.197605
llama-3.3-70b-instruct,question,incorrect,61,cosine,0.257407,-0.28087,0.344275,0.330575,0.250395,0.223882,0.026769,-0.246209,6.278689
llama-3.3-70b-instruct,question,all,230,cosine,0.260797,-0.300214,0.353953,0.335329,0.224501,0.273895,0.031386,-0.316776,5.486842
qwen3-235b-a22b-2507,question,correct,167,cosine,0.278997,-0.337268,0.287302,0.367727,0.293914,0.311843,0.020285,-0.358039,1.796053
qwen3-235b-a22b-2507,question,incorrect,63,cosine,0.164941,-0.283802,0.388162,0.220056,0.136531,0.143495,0.012875,-0.307241,3.095238
qwen3-235b-a22b-2507,question,all,230,cosine,0.243011,-0.320399,0.319124,0.321136,0.247797,0.260565,0.018114,-0.342012,2.176744
