model,dimension,stratum,n,accuracy,precision,recall,jaccard,weighted_recall
gemini-3.1-flash-lite,inference,correct,133,0.290011,0.883055,0.619781,0.534026,0.677966
gemini-3.1-flash-lite,inference,incorrect,66,0.163678,0.701299,0.408482,0.361178,0.490317
gemini-3.1-flash-lite,inference,all,199,0.248112,0.822774,0.549702,0.4767,0.615731
gemini-3.5-flash,inference,correct,109,0.183304,0.792351,0.586188,0.456529,0.651886
gemini-3.5-flash,inference,incorrect,11,0.108658,0.765685,0.55584,0.451622,0.644506
gemini-3.5-flash,inference,all,120,0.176461,0.789907,0.583406,0.45608,0.651209
gpt-5.4,inference,correct,98,0.250142,0.856998,0.581085,0.492758,0.650497
gpt-5.4,inference,incorrect,71,0.142587,0.709548,0.433998,0.371834,0.528052
gpt-5.4,inference,all,169,0.204956,0.795052,0.519291,0.441956,0.599056
gpt-5.4-mini-2026-03-17,inference,correct,164,0.25164,0.901115,0.521027,0.478343,0.58975
gpt-5.4-mini-2026-03-17,inference,incorrect,38,0.148436,0.749365,0.379875,0.341796,0.463178
gpt-5.4-mini-2026-03-17,inference,all,202,0.232225,0.872568,0.494473,0.452656,0.565939
llama-3.3-70b-instruct,inference,correct,55,0.246328,0.908622,0.501855,0.4687,0.58007
llama-3.3-70b-instruct,inference,incorrect,13,0.117949,0.729658,0.394026,0.364438,0.450761
llama-3.3-70b-instruct,inference,all,68,0.221785,0.874408,0.48124,0.448768,0.555349
qwen3-235b-a22b-2507,inference,correct,151,0.194702,0.918604,0.487808,0.452559,0.560418
qwen3-235b-a22b-2507,inference,incorrect,49,0.162804,0.792494,0.382935,0.362364,0.45846
qwen3-235b-a22b-2507,inference,all,200,0.186887,0.887707,0.462114,0.430461,0.535439
