model,dimension,stratum,n,final_accuracy,turn_count,cssr,time_to_first_correct_narrowing,monotonicity_violations,redundant_turn_ratio,overcommitment_turns
gemini-3.1-flash-lite,efficiency,correct,149,0.932886,4.268456,0.001684,3.818792,0.530201,0.62237,0.798658
gemini-3.1-flash-lite,efficiency,incorrect,81,0.580247,7.950617,0.630602,8.654321,0.395062,0.655549,1.62963
gemini-3.1-flash-lite,efficiency,all,230,0.808696,5.565217,0.223173,5.521739,0.482609,0.634055,1.091304
gemini-3.5-flash,efficiency,correct,141,0.865248,5.255319,-0.074479,4.326241,0.638298,0.676731,1.042553
gemini-3.5-flash,efficiency,incorrect,89,0.235955,10.47191,0.343878,11.224719,0.674157,0.693769,3.325843
gemini-3.5-flash,efficiency,all,230,0.621739,7.273913,0.087407,6.995652,0.652174,0.683324,1.926087
gpt-5.4,efficiency,correct,116,0.956897,6.603448,-0.080955,3.672414,0.577586,0.746882,2.025862
gpt-5.4,efficiency,incorrect,114,0.72807,9.833333,0.420962,10.517544,0.561404,0.711502,2.701754
gpt-5.4,efficiency,all,230,0.843478,8.204348,0.167821,7.065217,0.569565,0.729346,2.36087
gpt-5.4-mini-2026-03-17,efficiency,correct,177,0.858757,4.186441,0.086933,4.107345,0.435028,0.62542,0.559322
gpt-5.4-mini-2026-03-17,efficiency,incorrect,53,0.754717,7.962264,0.443758,8.433962,0.584906,0.646274,1.679245
gpt-5.4-mini-2026-03-17,efficiency,all,230,0.834783,5.056522,0.169158,5.104348,0.469565,0.630225,0.817391
llama-3.3-70b-instruct,efficiency,correct,169,0.136095,9.420118,-0.100762,7.065089,0.970414,0.76096,2.556213
llama-3.3-70b-instruct,efficiency,incorrect,61,0.0,10.57377,0.284561,11.016393,0.901639,0.727184,2.590164
llama-3.3-70b-instruct,efficiency,all,230,0.1,9.726087,0.001432,8.113043,0.952174,0.752002,2.565217
qwen3-235b-a22b-2507,efficiency,correct,167,0.868263,3.862275,-0.08054,3.784431,0.491018,0.595047,0.550898
qwen3-235b-a22b-2507,efficiency,incorrect,63,0.698413,6.793651,0.399775,7.47619,0.603175,0.556317,1.333333
qwen3-235b-a22b-2507,efficiency,all,230,0.821739,4.665217,0.051024,4.795652,0.521739,0.584438,0.765217
