question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-traumatic_stressor_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Avoidance', 'Irritability_Aggression', 'Exaggerated_Startle_Response', 'Depersonalization_Derealization']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Trauma_Related_Amnesia', 'Inability_Positive_Emotions', 'Hypervigilance', 'Exaggerated_Startle_Response', 'Depersonalization_Derealization']}}","['Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,3 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Related_Amnesia', 'Inability_Positive_Emotions', 'Irritability_Aggression']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,3 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Trauma_Avoidance', 'Trauma_Related_Amnesia', 'Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,6 days,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Avoidance', 'Inability_Positive_Emotions', 'Irritability_Aggression', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Related_Amnesia', 'Inability_Positive_Emotions', 'Irritability_Aggression', 'Depersonalization_Derealization']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Trauma_Avoidance', 'Irritability_Aggression', 'Hypervigilance', 'Exaggerated_Startle_Response', 'Depersonalization_Derealization']}}","['Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,2 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Related_Amnesia', 'Hypervigilance', 'Exaggerated_Startle_Response', 'Depersonalization_Derealization']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,6 days,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Trauma_Related_Amnesia', 'Inability_Positive_Emotions', 'Irritability_Aggression', 'Hypervigilance']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,traumatic_event,3 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Diminished_Thinking', 'Intrusive_Symptoms', 'Trauma_Avoidance', 'Inability_Positive_Emotions', 'Exaggerated_Startle_Response']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
