question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Acute Stress Disorder', 'Bipolar II Disorder', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Posttraumatic Stress Disorder', 'Binge-Eating Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Anorexia Nervosa', 'Acute Stress Disorder', 'Obsessive-Compulsive Disorder', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Bulimia Nervosa', 'Anorexia Nervosa', 'Schizoaffective Disorder (Bipolar Type)']","['Less likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Schizoaffective Disorder (Bipolar Type)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Moderately likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Specific Phobia', 'Bulimia Nervosa', 'Schizophrenia', 'Anorexia Nervosa']","['Less likely option', 'Moderately likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizoaffective Disorder (Bipolar Type)', 'Anorexia Nervosa']","['Moderately likely option', 'Less likely option', 'Less likely option', 'answer']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Bulimia Nervosa', 'Anorexia Nervosa', 'Schizophrenia']","['Less likely option', 'Moderately likely option', 'answer', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Low_Weight_Severity_Non_Recognition']}}","['Bipolar I Disorder', 'Anorexia Nervosa', 'Bulimia Nervosa', 'Major Depressive Disorder with Psychotic Features']","['Less likely option', 'answer', 'Moderately likely option', 'Less likely option']"
D021,Anorexia Nervosa,D021,Anorexia Nervosa,"{'anorexia_nervosa': {'symptoms': ['Restrictive_Intake', 'Low_Weight', 'Fear_of_Weight_Gain', 'Body_Image_Weight_Shape_Disturbance', 'Low_Weight_Severity_Non_Recognition']}}","['Anorexia Nervosa', 'Bulimia Nervosa', 'Adjustment Disorder', 'Binge-Eating Disorder']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
