question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '11 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '5 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Racing_Thoughts', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '2 weeks'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year and 1 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '11 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '11 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Increased_Goal_Activity'], 'duration': '1 year'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '3 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '8 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 month'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar II Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 year and 2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '6 months'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 year and 2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '7 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '5 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '1 year and 1 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '11 months'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility'], 'duration': '6 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '6 months'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
