question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Negative_Affect_After_Binge']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Obsessive-Compulsive Disorder', 'Bulimia Nervosa', 'Binge-Eating Disorder']","['Less likely option', 'Less likely option', 'Highly likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Binge-Eating Disorder', 'Bulimia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",2 years and 5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Bulimia Nervosa', 'Posttraumatic Stress Disorder', 'Anorexia Nervosa', 'Binge-Eating Disorder']","['Highly likely option', 'Less likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",10 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Specific Phobia', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Negative_Affect_After_Binge']}}","['Persistent Depressive Disorder', 'Obsessive-Compulsive Disorder', 'Binge-Eating Disorder', 'Bulimia Nervosa']","['Less likely option', 'Less likely option', 'answer', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",2 years and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Schizoaffective Disorder (Depressive Type)', 'Binge-Eating Disorder', 'Bulimia Nervosa', 'Bipolar I Disorder with Psychotic Features']","['Less likely option', 'answer', 'Highly likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full', 'Negative_Affect_After_Binge']}}","['Binge-Eating Disorder', 'Delusional Disorder', 'Acute Stress Disorder', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 10 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Binge-Eating Disorder', 'Bulimia Nervosa', 'Anorexia Nervosa', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Less likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",2 years and 0 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Bipolar I Disorder with Psychotic Features', 'Bipolar II Disorder']","['Highly likely option', 'answer', 'Less likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 4 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Major Depressive Disorder with Psychotic Features', 'Binge-Eating Disorder', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Less likely option']"
