question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bulimia Nervosa', 'Body Dysmorphic Disorder', 'Bipolar II Disorder', 'Bipolar I Disorder with Psychotic Features']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Persistent Depressive Disorder', 'Bipolar II Disorder', 'Body Dysmorphic Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Binge-Eating Disorder', 'Body Dysmorphic Disorder', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar II Disorder', 'Delusional Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bipolar II Disorder', 'Posttraumatic Stress Disorder', 'Binge-Eating Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bipolar I Disorder', 'Body Dysmorphic Disorder', 'Acute Stress Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Generalized Anxiety Disorder', 'Bipolar I Disorder with Psychotic Features', 'Posttraumatic Stress Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Generalized Anxiety Disorder', 'Body Dysmorphic Disorder', 'Posttraumatic Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Obsessive-Compulsive Disorder', 'Body Dysmorphic Disorder', 'Specific Phobia']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
