question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,1 year and 8 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Excessive_Talking', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Specific Phobia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,1 year and 8 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Organization_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Posttraumatic Stress Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,6 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Constant_Activity', 'Blurting_Answers', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Posttraumatic Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,2 years and 2 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}, 'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty']}}","['Bipolar I Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,1 year and 5 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Adjustment Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,2 years and 2 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Constant_Activity', 'Blurting_Answers', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Less likely option', 'Highly likely option', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,2 years and 4 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Quiet_Activity_Difficulty', 'Excessive_Talking', 'Blurting_Answers']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Listening_Difficulty']}}","['Specific Phobia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,1 year and 2 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,1 year and 5 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Constant_Activity', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),['Onset prior to age 12 years'],True,8 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Excessive_Talking', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Delusional Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']"
