question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 5 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Excessive_Talking', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Quiet_Activity_Difficulty', 'Excessive_Talking', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Acute Stress Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,2 years and 2 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Losing_Items']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Excessive_Talking', 'Blurting_Answers', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Posttraumatic Stress Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity']}}","['Bipolar II Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Organization_Difficulty', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Constant_Activity', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 2 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Losing_Items', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar II Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 2 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Losing_Items', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Constant_Activity', 'Excessive_Talking', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Major Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 11 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Losing_Items', 'Distractibility', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,2 years and 4 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Losing_Items']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Leaving_Seat', 'Quiet_Activity_Difficulty', 'Blurting_Answers', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']"
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],True,1 year and 10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Listening_Difficulty', 'Instruction_Follow through_Difficulty', 'Losing_Items', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Quiet_Activity_Difficulty', 'Constant_Activity', 'Blurting_Answers', 'Waiting_Turn_Difficulty']}}","['Major Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
