question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 year and 2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Painful_Consequence_Behavior'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '3 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Painful_Consequence_Behavior'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '2 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '1 year'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Death_Suicide'], 'duration': '3 months'}}","['Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Painful_Consequence_Behavior'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '6 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '9 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech', 'Manic_Distractibility', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Decreased_Sleep', 'Pressured_Speech', 'Racing_Thoughts', 'Manic_Distractibility'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '9 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
