question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 8 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Negative_Symptoms'], 'duration': '8 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 5 months,"{'psychotic_symptoms': {'symptoms': ['Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 11 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '8 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,2 years and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '5 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Worthlessness_Guilt'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 5 months,"{'psychotic_symptoms': {'symptoms': ['Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,2 years and 1 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Negative_Symptoms'], 'duration': '3 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 2 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Negative_Symptoms'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 9 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '9 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),"['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True,1 year and 11 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
