question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Posttraumatic Stress Disorder', 'Anorexia Nervosa', 'Schizophrenia', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Generalized Anxiety Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Obsessive-Compulsive Disorder', 'Persistent Depressive Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Body Dysmorphic Disorder', 'Obsessive-Compulsive Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Posttraumatic Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Schizophrenia', 'Obsessive-Compulsive Disorder', 'Body Dysmorphic Disorder', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Bipolar I Disorder', 'Obsessive-Compulsive Disorder', 'Posttraumatic Stress Disorder', 'Adjustment Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Schizoaffective Disorder (Bipolar Type)', 'Obsessive-Compulsive Disorder', 'Delusional Disorder', 'Persistent Depressive Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Schizophrenia', 'Anorexia Nervosa', 'Schizoaffective Disorder (Depressive Type)', 'Obsessive-Compulsive Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,{'obsessive_compulsive_symptoms': {'symptoms': ['Compulsions']}},"['Anorexia Nervosa', 'Schizophrenia', 'Obsessive-Compulsive Disorder', 'Acute Stress Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Obsessive-Compulsive Disorder', 'Body Dysmorphic Disorder', 'Persistent Depressive Disorder', 'Bipolar I Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D016,Obsessive-Compulsive Disorder,D016,Obsessive-Compulsive Disorder,True,"{'obsessive_compulsive_symptoms': {'symptoms': ['Obsessions', 'Compulsions']}}","['Obsessive-Compulsive Disorder', 'Major Depressive Disorder with Psychotic Features', 'Bipolar II Disorder', 'Major Depressive Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
