question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,1 year,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,1 year and 2 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,9 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,1 year and 9 months,{'delusions': {'symptoms': ['Delusions']}},"['Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,11 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,2 years and 2 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,4 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,10 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Delusional Disorder', 'Schizophrenia']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,7 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizophrenia', 'Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D004,Delusional Disorder,D004,Delusional Disorder,['Functioning is not markedly impaired apart from the impact of the delusion(s) or its ramifications'],False,1 year and 9 months,{'delusions': {'symptoms': ['Delusions']}},"['Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
