question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year and 7 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Excessive_Anxiety_Worry', 'Restlessness_Tension', 'Concentration_Difficulty', 'Muscle_Tension']}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue', 'Excessive_Anxiety_Worry', 'Restlessness_Tension', 'Muscle_Tension']}}","['Schizoaffective Disorder (Bipolar Type)', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year and 1 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue', 'Uncontrollable_Worry', 'Restlessness_Tension', 'Irritability']}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year and 3 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue', 'Uncontrollable_Worry', 'Concentration_Difficulty', 'Irritability', 'Muscle_Tension']}}","['Generalized Anxiety Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year and 2 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Excessive_Anxiety_Worry', 'Uncontrollable_Worry', 'Concentration_Difficulty', 'Muscle_Tension']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Generalized Anxiety Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,7 months,"{'anxiety_symptoms': {'symptoms': ['Fatigue', 'Excessive_Anxiety_Worry', 'Restlessness_Tension', 'Concentration_Difficulty', 'Irritability', 'Muscle_Tension']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Generalized Anxiety Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,1 year and 3 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Uncontrollable_Worry', 'Restlessness_Tension', 'Concentration_Difficulty', 'Irritability']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Generalized Anxiety Disorder', 'Bipolar I Disorder']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,9 months,"{'anxiety_symptoms': {'symptoms': ['Excessive_Anxiety_Worry', 'Uncontrollable_Worry', 'Concentration_Difficulty', 'Irritability', 'Muscle_Tension']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bulimia Nervosa', 'Generalized Anxiety Disorder', 'Bipolar I Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,2 years and 5 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Excessive_Anxiety_Worry', 'Uncontrollable_Worry', 'Restlessness_Tension', 'Irritability', 'Muscle_Tension']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Generalized Anxiety Disorder', 'Bipolar I Disorder']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,True,2 years and 2 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue', 'Excessive_Anxiety_Worry', 'Restlessness_Tension', 'Concentration_Difficulty', 'Muscle_Tension']}}","['Generalized Anxiety Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
