question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,['Onset prior to age 12 years'],2 years and 4 months,"{'inattention': {'symptoms': ['Sustained_Mental_Effort_Avoidance', 'Distractibility']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizoaffective Disorder (Bipolar Type)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,1 year and 1 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Instruction_Follow through_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Persistent Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,1 year and 4 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Listening_Difficulty', 'Organization_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Bulimia Nervosa']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,2 years and 3 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Organization_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Less likely option', 'Highly likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,['Onset prior to age 12 years'],1 year and 4 months,"{'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Organization_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bulimia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Highly likely option', 'answer', 'Less likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,1 year and 5 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Sustained_Mental_Effort_Avoidance']}}","['Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,6 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Less likely option', 'answer', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,2 years and 5 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),True,,1 year and 10 months,"{'inattention': {'symptoms': ['Instruction_Follow through_Difficulty', 'Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance']}, 'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking', 'Blurting_Answers']}}","['Major Depressive Disorder with Psychotic Features', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),D002,Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation),,,1 year and 8 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Schizoaffective Disorder (Bipolar Type)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']"
