question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D012,Specific Phobia,D012,Specific Phobia,1 year and 6 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Generalized Anxiety Disorder', 'Specific Phobia', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['must_contain_option', 'answer', 'must_contain_option', 'must_contain_option']",
D012,Specific Phobia,D012,Specific Phobia,1 year and 1 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Specific Phobia', 'Generalized Anxiety Disorder', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['answer', 'must_contain_option', 'must_contain_option', 'must_contain_option']",True
D012,Specific Phobia,D012,Specific Phobia,2 years and 1 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Specific Phobia', 'Generalized Anxiety Disorder']","['must_contain_option', 'must_contain_option', 'answer', 'must_contain_option']",
D012,Specific Phobia,D012,Specific Phobia,1 year and 6 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Generalized Anxiety Disorder', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Specific Phobia']","['must_contain_option', 'must_contain_option', 'must_contain_option', 'answer']",True
D012,Specific Phobia,D012,Specific Phobia,1 year,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Acute Stress Disorder', 'Specific Phobia', 'Generalized Anxiety Disorder', 'Posttraumatic Stress Disorder']","['must_contain_option', 'answer', 'must_contain_option', 'must_contain_option']",
D012,Specific Phobia,D012,Specific Phobia,1 year and 10 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Posttraumatic Stress Disorder', 'Generalized Anxiety Disorder', 'Acute Stress Disorder', 'Specific Phobia']","['must_contain_option', 'must_contain_option', 'must_contain_option', 'answer']",True
D012,Specific Phobia,D012,Specific Phobia,10 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Generalized Anxiety Disorder', 'Specific Phobia']","['must_contain_option', 'must_contain_option', 'must_contain_option', 'answer']",
D012,Specific Phobia,D012,Specific Phobia,1 year and 8 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Posttraumatic Stress Disorder', 'Generalized Anxiety Disorder', 'Acute Stress Disorder', 'Specific Phobia']","['must_contain_option', 'must_contain_option', 'must_contain_option', 'answer']",True
D012,Specific Phobia,D012,Specific Phobia,6 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Generalized Anxiety Disorder', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Specific Phobia']","['must_contain_option', 'must_contain_option', 'must_contain_option', 'answer']",True
D012,Specific Phobia,D012,Specific Phobia,2 years and 2 months,"{'phobic_symptoms': {'symptoms': ['Specific_Phobic_Fear', 'Immediate_Fear/Anxiety_Response', 'Phobic_Avoidance_Endure']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Specific Phobia', 'Generalized Anxiety Disorder']","['must_contain_option', 'must_contain_option', 'answer', 'must_contain_option']",True
