question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Racing_Thoughts', 'Manic_Distractibility'], 'duration': '8 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Fatigue', 'Worthlessness_Guilt'], 'duration': '2 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '1 year and 7 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar II Disorder', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'Moderately likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Increased_Goal_Activity'], 'duration': '1 year and 3 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'Moderately likely option', 'answer']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem'], 'duration': '6 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '2 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Painful_Consequence_Behavior'], 'duration': '2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '3 months'}}","['Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '10 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 year and 1 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem'], 'duration': '3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem'], 'duration': '1 year and 6 months'}}","['Bipolar II Disorder', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem'], 'duration': '2 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Moderately likely option', 'Highly likely option', 'Highly likely option']"
D008,Bipolar I Disorder,D008,Bipolar I Disorder,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '10 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Moderately likely option', 'Highly likely option', 'Highly likely option']"
