question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-additional_requirements
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 2 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '6 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Manic_Distractibility'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Death_Suicide'], 'duration': '2 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']",,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),2 years and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations'], 'duration': '9 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Manic_Distractibility'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']",,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 8 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '5 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Manic_Distractibility'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Worthlessness_Guilt'], 'duration': '5 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']",True,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 2 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations'], 'duration': '8 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Manic_Distractibility'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Negative_Symptoms'], 'duration': '1 month'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Psychomotor_Changes'], 'duration': '1 month'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",True,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 7 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '9 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",True,"['psychotic_symptoms and manic_episode occur concurrently', 'manic_episode is present for the majority of the total duration of the active and residual portions of the illness', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode']"
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 10 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '2 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Painful_Consequence_Behavior'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change'], 'duration': '3 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",True,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 6 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '6 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']",,"['psychotic_symptoms and manic_episode occur concurrently', 'manic_episode is present for the majority of the total duration of the active and residual portions of the illness', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode']"
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 4 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior'], 'duration': '5 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D006,Schizoaffective Disorder (Bipolar Type),D006,Schizoaffective Disorder (Bipolar Type),1 year and 11 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '7 months'}, 'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '6 months'}}","['Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",,"['psychotic_symptoms and manic_episode occur concurrently', 'manic_episode is present for the majority of the total duration of the active and residual portions of the illness', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode']"
