question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Intrusive_Symptoms']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Major Depressive Disorder with Psychotic Features', 'Bipolar II Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Sleep_Disturbance', 'Trauma_Related_Amnesia', 'Inability_Positive_Emotions']}}","['Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Persistent Depressive Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Hypervigilance', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder', 'Persistent Depressive Disorder']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,3 weeks,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance', 'Trauma_Related_Amnesia']}}","['Acute Stress Disorder', 'Posttraumatic Stress Disorder', 'Delusional Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['answer', 'Moderately likely option', 'Less likely option', 'Less likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,3 weeks,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Irritability_Aggression']}}","['Schizophrenia', 'Anorexia Nervosa', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['Less likely option', 'Less likely option', 'answer', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Exaggerated_Startle_Response', 'Depersonalization_Derealization']}}","['Schizoaffective Disorder (Depressive Type)', 'Acute Stress Disorder', 'Bipolar II Disorder', 'Posttraumatic Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Moderately likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,1 weeks,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Irritability_Aggression']}}","['Major Depressive Disorder', 'Body Dysmorphic Disorder', 'Posttraumatic Stress Disorder', 'Acute Stress Disorder']","['Less likely option', 'Less likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,5 days,"{'acute_stress_symptoms': {'symptoms': ['Diminished_Thinking', 'Intrusive_Symptoms', 'Exaggerated_Startle_Response']}}","['Schizoaffective Disorder (Depressive Type)', 'Posttraumatic Stress Disorder', 'Bipolar I Disorder', 'Acute Stress Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,True,4 days,"{'acute_stress_symptoms': {'symptoms': ['Intrusive_Symptoms', 'Trauma_Avoidance']}}","['Acute Stress Disorder', 'Generalized Anxiety Disorder', 'Posttraumatic Stress Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Less likely option', 'Moderately likely option', 'Less likely option']"
D019,Acute Stress Disorder,D019,Acute Stress Disorder,,3 days,"{'acute_stress_symptoms': {'symptoms': ['Trauma_Avoidance', 'Trauma_Related_Amnesia']}}","['Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Acute Stress Disorder', 'Posttraumatic Stress Disorder']","['Less likely option', 'Less likely option', 'answer', 'Moderately likely option']"
