question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),9 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance', 'Psychomotor_Changes'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 10 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '9 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Negative_Symptoms'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Fatigue'], 'duration': '10 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']","['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),2 years and 0 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '3 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Psychomotor_Changes'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 10 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '7 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Worthlessness_Guilt'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),9 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Psychomotor_Changes', 'Worthlessness_Guilt'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 5 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '9 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Fatigue'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 4 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Negative_Symptoms'], 'duration': '6 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Fatigue', 'Diminished_Thinking'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '7 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 10 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Negative_Symptoms'], 'duration': '3 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Death_Suicide'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']","['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 1 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '8 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Psychomotor_Changes'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 1 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),11 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '7 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 8 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '7 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),2 years and 0 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '6 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Diminished_Thinking'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']",,True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 10 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '6 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Death_Suicide'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 7 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Diminished_Thinking'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']","['psychotic_symptoms and depressive_episode occur concurrently', 'depressive_episode is present for the majority of the total duration of the active and residual portions of the illness (Criterion C)', 'delusions_and_hallucinations occur for 2 or more weeks in the absence of a major mood episode (Criterion B)']",True
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 9 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '3 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest'], 'duration': '9 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Depressive Type)', 'Major Depressive Disorder with Psychotic Features', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']",,
D007,Schizoaffective Disorder (Depressive Type),D007,Schizoaffective Disorder (Depressive Type),1 year and 11 months,"{'psychotic_symptoms': {'symptoms': ['Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Death_Suicide'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Major Depressive Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']",,
