question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 9 months,"{'anxiety_symptoms': {'symptoms': ['Uncontrollable_Worry', 'Restlessness_Tension', 'Muscle_Tension']}}","['Generalized Anxiety Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Persistent Depressive Disorder', 'Body Dysmorphic Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 1 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Irritability']}}","['Generalized Anxiety Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,2 years and 5 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue', 'Uncontrollable_Worry']}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,2 years and 5 months,"{'anxiety_symptoms': {'symptoms': ['Fatigue', 'Concentration_Difficulty']}}","['Schizoaffective Disorder (Bipolar Type)', 'Generalized Anxiety Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 5 months,"{'anxiety_symptoms': {'symptoms': ['Excessive_Anxiety_Worry', 'Uncontrollable_Worry', 'Concentration_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Generalized Anxiety Disorder', 'Delusional Disorder', 'Obsessive-Compulsive Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']",True
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 6 months,"{'anxiety_symptoms': {'symptoms': ['Concentration_Difficulty', 'Irritability']}}","['Posttraumatic Stress Disorder', 'Delusional Disorder', 'Specific Phobia', 'Generalized Anxiety Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 10 months,"{'anxiety_symptoms': {'symptoms': ['Uncontrollable_Worry', 'Restlessness_Tension', 'Concentration_Difficulty']}}","['Acute Stress Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Generalized Anxiety Disorder', 'Bipolar I Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']",True
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,2 years and 0 months,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Restlessness_Tension', 'Muscle_Tension']}}","['Bipolar I Disorder', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 1 months,"{'anxiety_symptoms': {'symptoms': ['Excessive_Anxiety_Worry', 'Uncontrollable_Worry']}}","['Specific Phobia', 'Posttraumatic Stress Disorder', 'Bipolar II Disorder', 'Generalized Anxiety Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']",True
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year,"{'anxiety_symptoms': {'symptoms': ['Sleep_Disturbance', 'Fatigue']}}","['Bipolar I Disorder', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",True
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,8 months,"{'anxiety_symptoms': {'symptoms': ['Fatigue', 'Irritability', 'Muscle_Tension']}}","['Bipolar I Disorder', 'Generalized Anxiety Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']",
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,1 year and 6 months,"{'anxiety_symptoms': {'symptoms': ['Fatigue', 'Irritability']}}","['Generalized Anxiety Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']",True
D011,Generalized Anxiety Disorder,D011,Generalized Anxiety Disorder,2 years and 2 months,"{'anxiety_symptoms': {'symptoms': ['Restlessness_Tension', 'Irritability']}}","['Schizophrenia', 'Major Depressive Disorder with Psychotic Features', 'Generalized Anxiety Disorder', 'Persistent Depressive Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']",
