question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],6 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity', 'Excessive_Talking']}}","['Delusional Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'Highly likely option', 'Highly likely option', 'answer']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 2 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Less likely option', 'Highly likely option', 'answer']",True
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,7 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Losing_Items', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Quiet_Activity_Difficulty', 'Waiting_Turn_Difficulty']}}","['Persistent Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,2 years and 2 months,"{'inattention': {'symptoms': ['Instruction_Follow through_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Binge-Eating Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 4 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Quiet_Activity_Difficulty', 'Excessive_Talking']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Binge-Eating Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']",True
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 10 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Instruction_Follow through_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity', 'Interrupting_Intruding']}}","['Schizophrenia', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['Less likely option', 'Highly likely option', 'answer', 'Highly likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],1 year and 2 months,"{'inattention': {'symptoms': ['Organization_Difficulty', 'Sustained_Mental_Effort_Avoidance', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Adjustment Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']",True
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),['Onset prior to age 12 years'],8 months,"{'inattention': {'symptoms': ['Sustained_Mental_Effort_Avoidance', 'Distractibility']}, 'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking', 'Blurting_Answers']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Highly likely option', 'Highly likely option', 'Less likely option', 'answer']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year and 3 months,"{'inattention': {'symptoms': ['Listening_Difficulty', 'Daily_Activities_Forgetfulness']}, 'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Constant_Activity']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar II Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",
D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),D001,Attention-Deficit/Hyperactivity Disorder (Combined Presentation),,1 year and 5 months,"{'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty']}, 'hyperactivity_impulsivity': {'symptoms': ['Excessive_Talking', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']",
