question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D005,Schizophrenia,D005,Schizophrenia,1 year and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations'], 'duration': '1 year and 2 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizophrenia']","['Highly likely option', 'Highly likely option', 'Moderately likely option', 'answer']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 6 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 month'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'answer', 'Highly likely option', 'Moderately likely option']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 7 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 year and 1 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Delusional Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 11 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '1 year and 9 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['Highly likely option', 'Moderately likely option', 'Highly likely option', 'answer']",True
D005,Schizophrenia,D005,Schizophrenia,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior'], 'duration': '8 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Delusional Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '1 year'}}","['Schizophrenia', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Moderately likely option', 'Highly likely option', 'Highly likely option']",True
D005,Schizophrenia,D005,Schizophrenia,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations'], 'duration': '6 months'}}","['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['answer', 'Highly likely option', 'Highly likely option', 'Moderately likely option']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior'], 'duration': '3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']",True
D005,Schizophrenia,D005,Schizophrenia,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech'], 'duration': '2 years and 0 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia']","['Highly likely option', 'Moderately likely option', 'Highly likely option', 'answer']",True
D005,Schizophrenia,D005,Schizophrenia,7 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech', 'Negative_Symptoms'], 'duration': '1 month'}}","['Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Highly likely option', 'answer', 'Highly likely option']",
D005,Schizophrenia,D005,Schizophrenia,2 years and 5 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Hallucinations', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '2 years and 3 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Schizophrenia']","['Moderately likely option', 'Highly likely option', 'Highly likely option', 'answer']",
D005,Schizophrenia,D005,Schizophrenia,1 year and 3 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Abnormal_Behavior'], 'duration': '7 months'}}","['Schizophrenia', 'Schizoaffective Disorder (Depressive Type)', 'Delusional Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Moderately likely option', 'Highly likely option']",True
D005,Schizophrenia,D005,Schizophrenia,2 years and 4 months,"{'psychotic_symptoms': {'symptoms': ['Delusions', 'Disorganized_Thinking_Speech', 'Disorganized_Abnormal_Behavior', 'Negative_Symptoms'], 'duration': '10 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Delusional Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']",
D005,Schizophrenia,D005,Schizophrenia,2 years and 4 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Disorganized_Abnormal_Behavior'], 'duration': '1 year and 3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Moderately likely option', 'Highly likely option']",True
D005,Schizophrenia,D005,Schizophrenia,2 years and 3 months,"{'psychotic_symptoms': {'symptoms': ['Hallucinations', 'Negative_Symptoms'], 'duration': '7 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Schizophrenia', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'answer', 'Moderately likely option']",True
