question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Body Dysmorphic Disorder', 'Bipolar I Disorder with Psychotic Features', 'Persistent Depressive Disorder', 'Major Depressive Disorder']","['answer', 'Less likely option', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Adjustment Disorder', 'Major Depressive Disorder with Psychotic Features', 'Schizophrenia', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Schizophrenia', 'Binge-Eating Disorder', 'Major Depressive Disorder with Psychotic Features', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Major Depressive Disorder', 'Obsessive-Compulsive Disorder', 'Acute Stress Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bipolar I Disorder', 'Body Dysmorphic Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Generalized Anxiety Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Bipolar II Disorder', 'Obsessive-Compulsive Disorder', 'Body Dysmorphic Disorder', 'Specific Phobia']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Obsessive-Compulsive Disorder', 'Body Dysmorphic Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar I Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Binge-Eating Disorder', 'Adjustment Disorder', 'Delusional Disorder', 'Body Dysmorphic Disorder']","['Less likely option', 'Less likely option', 'Less likely option', 'answer']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Schizoaffective Disorder (Bipolar Type)', 'Body Dysmorphic Disorder', 'Bipolar I Disorder with Psychotic Features', 'Acute Stress Disorder']","['Less likely option', 'answer', 'Less likely option', 'Less likely option']"
D017,Body Dysmorphic Disorder,D017,Body Dysmorphic Disorder,True,"{'dysmorphic_symptoms': {'symptoms': ['Preoccupation_with_Appearance', 'Appearance_Related_Repetitive_Behaviors']}}","['Major Depressive Disorder', 'Anorexia Nervosa', 'Body Dysmorphic Disorder', 'Binge-Eating Disorder']","['Less likely option', 'Less likely option', 'answer', 'Less likely option']"
