question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Fatigue', 'Hopelessness'], 'duration': '2 years and 3 months'}}","['Persistent Depressive Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Diminished_Thinking'], 'duration': '2 years and 2 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Persistent Depressive Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Moderately likely option', 'Moderately likely option', 'answer', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Hopelessness'], 'duration': '2 years and 5 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Persistent Depressive Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Diminished_Thinking', 'Low_Self_Esteem'], 'duration': '2 years and 0 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Persistent Depressive Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Diminished_Thinking', 'Low_Self_Esteem'], 'duration': '2 years and 1 months'}}","['Persistent Depressive Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Low_Self_Esteem', 'Hopelessness'], 'duration': '2 years and 3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Persistent Depressive Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Low_Self_Esteem', 'Hopelessness'], 'duration': '2 years and 0 months'}}","['Persistent Depressive Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Moderately likely option', 'Moderately likely option', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change'], 'duration': '2 years and 0 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Persistent Depressive Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Fatigue'], 'duration': '2 years and 3 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Persistent Depressive Disorder']","['Moderately likely option', 'Moderately likely option', 'Moderately likely option', 'answer']"
D014,Persistent Depressive Disorder,D014,Persistent Depressive Disorder,"{'dysthymic_symptoms': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Diminished_Thinking'], 'duration': '2 years and 4 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Persistent Depressive Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Moderately likely option', 'answer', 'Moderately likely option', 'Moderately likely option']"
