question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '4 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Diminished_Thinking'], 'duration': '3 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Painful_Consequence_Behavior'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Diminished_Thinking'], 'duration': '9 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '12 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '2 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Bipolar I Disorder', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Pressured_Speech'], 'duration': '5 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Sleep_Disturbance', 'Fatigue'], 'duration': '7 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech'], 'duration': '3 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Sleep_Disturbance', 'Death_Suicide'], 'duration': '7 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,['delusions_and_hallucinations occur exclusively during the manic episode'],"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '7 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Death_Suicide'], 'duration': '2 months'}}","['Bipolar I Disorder with Psychotic Features', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Racing_Thoughts', 'Painful_Consequence_Behavior'], 'duration': '1 month'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D010,Bipolar I Disorder with Psychotic Features,D010,Bipolar I Disorder with Psychotic Features,,"{'manic_episode': {'functional_impairment_required': True, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem'], 'duration': '6 months'}, 'delusions_and_hallucinations': {'symptoms': ['Delusions', 'Hallucinations']}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Sleep_Disturbance'], 'duration': '6 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder with Psychotic Features']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
