question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-functional_impairment_required
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),2 years and 0 months,"{'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Excessive_Talking', 'Interrupting_Intruding']}}","['Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['Less likely option', 'answer', 'Highly likely option', 'Highly likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 8 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Quiet_Activity_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Anorexia Nervosa', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),2 years and 3 months,"{'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Constant_Activity', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year,"{'hyperactivity_impulsivity': {'symptoms': ['Quiet_Activity_Difficulty', 'Interrupting_Intruding']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 11 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Feeling_Restless', 'Interrupting_Intruding']}}","['Obsessive-Compulsive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)']","['Less likely option', 'Highly likely option', 'Highly likely option', 'answer']",,True
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),9 months,"{'hyperactivity_impulsivity': {'symptoms': ['Fidgeting', 'Quiet_Activity_Difficulty', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Listening_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Specific Phobia']","['Highly likely option', 'answer', 'Highly likely option', 'Less likely option']",,True
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),9 months,"{'hyperactivity_impulsivity': {'symptoms': ['Feeling_Restless', 'Waiting_Turn_Difficulty', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Persistent Depressive Disorder', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Highly likely option', 'Less likely option', 'Highly likely option']",,
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),6 months,"{'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity', 'Blurting_Answers', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Detail_Inattention_Errors', 'Sustained_Attention_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Anorexia Nervosa']","['Highly likely option', 'Highly likely option', 'answer', 'Less likely option']",['Onset prior to age 12 years'],
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 2 months,"{'hyperactivity_impulsivity': {'symptoms': ['Constant_Activity', 'Waiting_Turn_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bipolar II Disorder']","['answer', 'Highly likely option', 'Highly likely option', 'Less likely option']",['Onset prior to age 12 years'],True
D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),D003,Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation),1 year and 10 months,"{'hyperactivity_impulsivity': {'symptoms': ['Leaving_Seat', 'Quiet_Activity_Difficulty', 'Interrupting_Intruding']}, 'inattention': {'symptoms': ['Sustained_Attention_Difficulty', 'Organization_Difficulty']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Hyperactive/Impulsive Presentation)', 'Binge-Eating Disorder', 'Attention-Deficit/Hyperactivity Disorder (Combined Presentation)', 'Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)']","['answer', 'Less likely option', 'Highly likely option', 'Highly likely option']",,True
