question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_diagnostic_criteria-additional_requirements,question-sampled_features-sampled_diagnostic_criteria-duration,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 7 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Bulimia Nervosa', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)', 'Binge-Eating Disorder']","['Highly likely option', 'Less likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Adjustment Disorder', 'Bipolar II Disorder', 'Bulimia Nervosa', 'Binge-Eating Disorder']","['Less likely option', 'Less likely option', 'Highly likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Alone_Due_to_Embarrassment']}}","['Binge-Eating Disorder', 'Delusional Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bulimia Nervosa']","['answer', 'Less likely option', 'Less likely option', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",7 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Alone_Due_to_Embarrassment']}}","['Bipolar I Disorder with Psychotic Features', 'Bulimia Nervosa', 'Delusional Disorder', 'Binge-Eating Disorder']","['Less likely option', 'Highly likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",11 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Acute Stress Disorder', 'Bulimia Nervosa', 'Binge-Eating Disorder', 'Delusional Disorder']","['Less likely option', 'Highly likely option', 'answer', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",5 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Alone_Due_to_Embarrassment', 'Negative_Affect_After_Binge']}}","['Bulimia Nervosa', 'Body Dysmorphic Disorder', 'Anorexia Nervosa', 'Binge-Eating Disorder']","['Highly likely option', 'Less likely option', 'Less likely option', 'answer']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",10 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Alone_Due_to_Embarrassment']}}","['Bulimia Nervosa', 'Binge-Eating Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Less likely option', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 2 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Eating_Until_Uncomfortably_Full', 'Eating_Without_Hunger']}}","['Posttraumatic Stress Disorder', 'Binge-Eating Disorder', 'Bipolar I Disorder with Psychotic Features', 'Bulimia Nervosa']","['Less likely option', 'answer', 'Less likely option', 'Highly likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",1 year and 3 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Until_Uncomfortably_Full']}}","['Attention-Deficit/Hyperactivity Disorder (Predominantly Inattentive Presentation)', 'Bulimia Nervosa', 'Binge-Eating Disorder', 'Major Depressive Disorder']","['Less likely option', 'Highly likely option', 'answer', 'Less likely option']"
D023,Binge-Eating Disorder,D023,Binge-Eating Disorder,"['The binge eating occurs, on average, at least once a week for 3 months']",8 months,"{'binge_episode': {'symptoms': ['Eating_Large_Amount', 'Loss_of_Control']}, 'binge_episode_related': {'symptoms': ['Rapid_Eating', 'Eating_Without_Hunger', 'Eating_Alone_Due_to_Embarrassment']}}","['Bulimia Nervosa', 'Major Depressive Disorder with Psychotic Features', 'Schizophrenia', 'Binge-Eating Disorder']","['Highly likely option', 'Less likely option', 'Less likely option', 'answer']"
