question-disease_code,question-disease_name,question-sampled_features-disease_code,question-sampled_features-disease_name,question-sampled_features-sampled_symptom_groups,option-options,option-index_types
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Pressured_Speech', 'Increased_Goal_Activity'], 'duration': '1 year and 1 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Fatigue', 'Death_Suicide'], 'duration': '1 year'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity', 'Painful_Consequence_Behavior'], 'duration': '10 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance'], 'duration': '2 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Inflated_Self_Esteem', 'Increased_Goal_Activity'], 'duration': '3 weeks'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance'], 'duration': '9 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '3 weeks'}}","['Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Psychomotor_Changes', 'Fatigue'], 'duration': '1 year and 1 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Bipolar I Disorder']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Racing_Thoughts', 'Manic_Distractibility', 'Increased_Goal_Activity'], 'duration': '5 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Fatigue', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '2 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '1 year and 2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Weight_Appetite_Change', 'Fatigue', 'Worthlessness_Guilt'], 'duration': '3 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '10 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Fatigue', 'Death_Suicide'], 'duration': '1 year'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '10 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Worthlessness_Guilt', 'Diminished_Thinking', 'Death_Suicide'], 'duration': '10 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '1 year and 2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Worthlessness_Guilt', 'Death_Suicide'], 'duration': '4 months'}}","['Bipolar II Disorder', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['answer', 'Highly likely option', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '1 year'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Fatigue'], 'duration': '2 months'}}","['Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Pressured_Speech', 'Racing_Thoughts', 'Increased_Goal_Activity'], 'duration': '11 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Worthlessness_Guilt'], 'duration': '2 weeks'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep', 'Manic_Distractibility'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Weight_Appetite_Change', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '1 month'}}","['Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Decreased_Sleep'], 'duration': '4 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Sleep_Disturbance', 'Psychomotor_Changes', 'Fatigue'], 'duration': '9 months'}}","['Schizoaffective Disorder (Depressive Type)', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar II Disorder']","['Highly likely option', 'Highly likely option', 'Highly likely option', 'answer']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Manic_Distractibility'], 'duration': '10 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest', 'Psychomotor_Changes', 'Worthlessness_Guilt', 'Diminished_Thinking'], 'duration': '2 months'}}","['Bipolar I Disorder', 'Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity', 'Increased_Goal_Activity'], 'duration': '1 month'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Depressed_Mood', 'Loss_of_Interest'], 'duration': '7 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar I Disorder', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)']","['Highly likely option', 'Highly likely option', 'answer', 'Highly likely option']"
D009,Bipolar II Disorder,D009,Bipolar II Disorder,"{'hypomanic_episode': {'functional_impairment_required': False, 'symptoms': ['Elevated_Irritable_Mood', 'Increased_Activity'], 'duration': '2 months'}, 'depressive_episode': {'functional_impairment_required': True, 'symptoms': ['Loss_of_Interest', 'Death_Suicide'], 'duration': '10 months'}}","['Schizoaffective Disorder (Bipolar Type)', 'Bipolar II Disorder', 'Schizoaffective Disorder (Depressive Type)', 'Bipolar I Disorder']","['Highly likely option', 'answer', 'Highly likely option', 'Highly likely option']"
