id,event,mean_value
1,Death of spouse,100
2,Divorce,73
3,Marital separation from mate,65
4,Detention in jail or other institution,63
5,Death of a close family member,63
6,Major personal injury or illness,53
7,Marriage,50
8,Being fired at work,47
9,Marital reconciliation with mate,45
10,Retirement from work,45
11,Major change in the health or behavior of a family member,44
12,Pregnancy,40
14,"Gaining a new family member (e.g., birth, adoption, older adult moving in)",39
15,Major business readjustment,39
16,"Major change in financial state (e.g., a lot worse or better off than usual)",38
17,Death of a close friend,37
18,Changing to a different line of work,36
19,"Major change in the number of arguments with spouse (e.g., either a lot more or a lot less than usual regarding child rearing, personal habits)",35
20,"Taking on a mortgage (for home, business)",31
21,Foreclosure on a mortgage or loan,30
22,"Major change in responsibilities at work (e.g., promotion, demotion)",29
23,"Son or daughter leaving home (marriage, attending college, joined military)",29
24,In-law troubles,29
25,Outstanding personal achievement,28
26,Spouse beginning or ceasing work outside the home,26
27,Beginning or ceasing formal schooling,26
28,"Major change in living condition (new home, remodeling, deterioration of neighborhood or home)",25
29,"Revision of personal habits (dress, manners, associations, quitting smoking)",24
30,Troubles with the boss,23
31,Major changes in working hours or conditions,20
32,Changes in residence,20
33,Changing to a new school,20
