patient,judge,doctor,final_accuracy_pct,jaccard,precision,recall,jaccard_rigid,precision_rigid,recall_rigid,ias,turn_count,turn_to_1st_correct,turn_to_1st_confident,overcommitment_turns,overcommitment_conf,diagnostic_reasoning_overall_score
gemini-3.1-pro-preview,gemini-3.1-pro-preview,gpt-5.4,62.89855072463768,0.30246189692982456,0.5621556743421052,0.415893475877193,0.37920115131578946,0.5264231359649123,0.534404221491228,0.41615047170573205,10.57391304347826,8.15072463768116,8.86376811594203,3.5681159420289856,2.365217391304348,0.7026315942028986
gemini-3.1-pro-preview,gemini-3.1-pro-preview,gpt-5.6-luna,59.130434782608695,0.3295659776902887,0.6282036089238845,0.39243884514435695,0.407340780839895,0.5897354002624672,0.4917096456692913,0.3859828345496255,8.834782608695653,7.15072463768116,7.304347826086956,2.7681159420289854,2.1507246376811593,0.691099420289855
gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.8-flash,66.08695652173913,0.3233745905474965,0.6444472157229761,0.39171806270472626,0.39675919513336455,0.5684520355638746,0.512912915301825,0.46350193364748105,6.194202898550724,5.7043478260869565,5.87536231884058,1.3855072463768117,0.9739130434782609,0.6727484057971015
gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-flash-lite,66.08695652173913,0.3267175311620426,0.7090198230800161,0.3599038198632891,0.43051117812625656,0.6540267390430238,0.48822376357056696,0.4163217380664769,7.208695652173913,6.257971014492754,6.3594202898550725,1.855072463768116,1.4782608695652173,0.6466733333333333
gemini-3.1-pro-preview,gemini-3.1-pro-preview,claude-sonnet-5,71.8840579710145,0.37455987447698746,0.7039676150627615,0.43161246861924685,0.42982937238493724,0.6505427615062761,0.5154064435146444,0.4584506540095213,6.927536231884058,5.855072463768116,5.991304347826087,1.7768115942028986,1.5420289855072464,0.6801655072463768
gemini-3.1-pro-preview,gemini-3.1-pro-preview,claude-haiku-4.5,40.0,0.24840403092214247,0.5589908614025401,0.26964729431253454,0.31293246824958587,0.5133114301490889,0.34948732744340144,0.24112828564016736,10.498550724637681,8.255072463768116,9.376811594202898,3.2376811594202897,1.8434782608695652,0.6461144927536232
gemini-3.1-pro-preview,gemini-3.1-pro-preview,llama-3.3-70b-instruct,40.869565217391305,0.2930542817679558,0.5599546807857582,0.3363377685696746,0.3641314149785144,0.523633855125844,0.42110707489257215,0.17822446367835637,18.88695652173913,13.223188405797101,15.223188405797101,7.371014492753623,4.388405797101449,0.6492246376811595
gemini-3.1-pro-preview,gemini-3.1-pro-preview,qwen3-235b,46.22093023255814,0.24116927170868346,0.49004983193277313,0.3123173669467787,0.28500389355742295,0.4282945098039216,0.3934320168067227,0.2793174385013324,10.377906976744185,8.57267441860465,9.212209302325581,2.9622093023255816,1.8604651162790697,0.5934212209302325
gpt-5.6-terra,gpt-5.6-terra,gpt-5.4,68.69565217391305,0.31582017712745475,0.6538400462071621,0.42831397766653834,0.41697862918752404,0.555167577974586,0.6152305737389295,0.38699412116703413,15.055072463768116,11.460869565217392,11.878260869565217,4.524637681159421,3.8521739130434782,0.7440411594202898
gpt-5.6-terra,gpt-5.6-terra,gemini-3.8-flash,61.80758017492711,0.33432550898203595,0.6538584031936128,0.41722047904191617,0.409197125748503,0.6059871457085828,0.5325052694610778,0.502428598994489,7.303206997084548,6.142857142857143,6.699708454810495,1.9825072886297377,1.2973760932944607,0.6472160349854227
gpt-5.6-terra,gpt-5.6-terra,claude-sonnet-5,71.30434782608695,0.3443259565667011,0.7618919682867976,0.3925871423647018,0.4231451913133402,0.6802644605308514,0.508275008617718,0.44640356579632556,8.408695652173913,7.298550724637681,7.397101449275362,1.9420289855072463,1.681159420289855,0.6742495652173913
gpt-5.6-terra,gpt-5.6-terra,llama-3.3-70b-instruct,38.84057971014493,0.29232014366956,0.681707123615684,0.3286145465429512,0.38158401676144865,0.5939462436396289,0.4509010176593834,0.21069868649795934,19.368115942028986,14.6,16.191304347826087,5.6695652173913045,3.933333333333333,0.6207594202898551
gpt-5.6-terra,gpt-5.6-terra,qwen3-235b,40.869565217391305,0.22362650541698162,0.5587509952129,0.27806591080876797,0.279756462585034,0.48857299067775256,0.3895644998740237,0.2978285013678073,11.504347826086956,9.466666666666667,10.397101449275363,2.802898550724638,1.8782608695652174,0.5621771014492754
